Tetun (tdt),Mambai (mgm),English (eng),source
Ha’u-nia kolega,Au kolegan,,Mambae STORY BOOKS copy
Ne'e ha'u-nia kolega nain rua. Mateus ho Sergiana. Sira gosta eskola. Mateus matenek kona-ba matematika. Sergiana matenek ko'alia. Sira-nia uma besik malu. Dadeer-dadeer sira bá eskola hamutuk.,Idia au kolegan ru. Mateus nor Sergiana. Rom gosta iskolan. Mateus matenek her Matematikan. Sergiana matenek her Gasen. Rom padan pdes ro. Bus-busa rom la iskolan put.,,Mambae STORY BOOKS copy
Adelino mós ha'u-nia kolega. Nia hatene tebe bola. Lokraik-lokraik ami bá tebe bola. Nia dehan aban bain rua nia hakarak sa'e hanesan Christiano Ronaldo.,Adelino met au kolegan. Ua tadlo bet bolan. Leldu-leldu aem la bet bolan. Ua dale tu ada airu ua karak sai man Christiano Ronaldo,,Mambae STORY BOOKS copy
"Nela mós ha'u-nia kolega. Ninia hahalok mós di'ak. Nia la halo an, no mós hamnasa hela de'it. Nia foin aprende halimar bulu tangkis.","Nela met au kolegan. Ni hahalok met kode. Ua ba pun ao, ua met gnina mo. Ua hine aprende dlai man hulun (Bulu Tangkis)",,Mambae STORY BOOKS copy
"Nina ki'ik gosta boneka. Bainhira han meudia hotu, nia halimar ho nia boneka, dalaruma ko'alia ho nia boneka.","Nina hi loban gosta bonekan. Kuandu mu meudian hled, ua la dlai nor ni bonekan, hleli-hleli ua gase nor ni bonekan.",,Mambae STORY BOOKS copy
"Joni nia tinan foin sia. Nia ajuda hela de'it nia inan-aman. Dadeersaan, meudia ho lokraik nia kuru bee hela de'it. Nia mós bá hili ai. Joni badinas duni.","Joni ni tonan hine hohopat. Ua ajuda bael se ni papan no maman. Bus, meudian nor lelrae ua pela soi bael se era. Ua met la hu aia. Joni badinas rio.",,Mambae STORY BOOKS copy
"Domingas mak ema ida ne'ebé hakarak moos hela de'it. Dadeersaan nia kose nehan, haruus, fase ain ho liman, mak foin han matabixu. Tanba ne'e mak nia saúde di'ak.","Domingas ua atub id karak mo baels. Busa ua roes nipan, prau, has oen nor liman, hine mu matabisun. Idia pe ua saudin kode.",,Mambae STORY BOOKS copy
"Ha'u-nia kolega ne'e naran Livio. Bainhira nia sai husi eskola, nia bá uma uluk lai mak foin bá halimar. Nia estuda makaas iha uma. Iha ami-nia kelas laran, nia mak matenek liu.","Au kolega kidia gala Livio. Kuandu ua sai ni eskolan ma, ua hi la man pada mun la man ua hi la dlai. Ua istuda makas her pada. Her aem klas lalan, ua pe matenek dlo.",,Mambae STORY BOOKS copy
Feto ne'e nia naran Bela. Nia mós ha'u-nia kolega. Nia gosta tebe ai-funan. Nia halimar beibeik ho nia kolega sira seluk. Ami hotu kolega di'ak.,Bidia gala Bela. Ua met au kolegan. Ua gosta bet ai-hetun. Ua dlai kainale nor ni kolega ser loin. Aem seria kolega kode.,,Mambae STORY BOOKS copy
JOGA BOLA Joga Bolan,,,Mambae STORY BOOKS copy
